TipusCasData,RegioSanitariaCodi,RegioSanitariaDescripcio,SectorSanitariCodi,SectorSanitariDescripcio,ABSCodi,ABSDescripcio,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
25/07/2022,7100,ALT PIRINEU I ARAN,7164,ALT PIRINEU,174,PALLARS SOBIRÀ,0,Home,Positiu TAR,2
25/07/2022,7100,ALT PIRINEU I ARAN,7164,ALT PIRINEU,233,LA SEU D'URGELL,1,Dona,Positiu PCR,1
25/07/2022,7100,ALT PIRINEU I ARAN,7164,ALT PIRINEU,233,LA SEU D'URGELL,0,Home,Positiu PCR,1
25/07/2022,7100,ALT PIRINEU I ARAN,7164,ALT PIRINEU,103,LA CERDANYA,1,Dona,Positiu TAR,2
25/07/2022,7100,ALT PIRINEU I ARAN,7107,ARAN,007,ARAN,0,Home,Positiu TAR,1
25/07/2022,7100,ALT PIRINEU I ARAN,7164,ALT PIRINEU,169,ALT URGELL-SUD,1,Dona,Positiu TAR,1
25/07/2022,7100,ALT PIRINEU I ARAN,7164,ALT PIRINEU,259,TREMP,0,Home,Positiu TAR,1
25/07/2022,7100,ALT PIRINEU I ARAN,7164,ALT PIRINEU,259,TREMP,1,Dona,Positiu TAR,1
25/07/2022,7803,BARCELONA CIUTAT,7847,BARCELONA SANT MARTÍ,331,BARCELONA 10-J,0,Home,Positiu TAR,1
25/07/2022,7803,BARCELONA CIUTAT,7849,BARCELONA SANTS-MONTJUÏC,032,BARCELONA 3-A,0,Home,Positiu PCR,1
25/07/2022,7803,BARCELONA CIUTAT,7846,BARCELONA CIUTAT VELLA,020,BARCELONA 1-E,0,Home,Positiu TAR,1
25/07/2022,7803,BARCELONA CIUTAT,7851,BARCELONA EIXAMPLE,022,BARCELONA 2-B,1,Dona,Positiu TAR,1
25/07/2022,7803,BARCELONA CIUTAT,7850,BARCELONA SARRIÀ-SANT GERVASI,046,BARCELONA 5-E,1,Dona,Positiu TAR,1
25/07/2022,7803,BARCELONA CIUTAT,7851,BARCELONA EIXAMPLE,027,BARCELONA 2-G,1,Dona,Positiu TAR,1
25/07/2022,7803,BARCELONA CIUTAT,7854,BARCELONA NOU BARRIS,402,BARCELONA 8-K,1,Dona,Positiu TAR,1
25/07/2022,7803,BARCELONA CIUTAT,7851,BARCELONA EIXAMPLE,023,BARCELONA 2-C,1,Dona,Positiu TAR,3
